Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	2.2128959	3.2621036	14.717082	-1.347668	2.911126	3.4623935	13.146462	-0.9307819	12.020833	33.038795	179.0	0.0	21.975	59.529186	239.0	0.0	1000.0	1000.0	1.1666666	1.425	29587.0	0.026897272727272728	1050004.0	-1.192861	0.48632824	0.77558565	-11.560251	-1.1928691	0.48634818	0.88657266	-11.650919	1.8722397	2.0219734	50.936974	-26.401297	1.3375045	3.8172686	131.85616	1e-08	1.9833637	4.626505	82.19636	-11.880157	1.6485537	0.0009881817	0.0009780774	0.064171486	0.22466215	3.794667e-05	-6.3223577	0.0018690057	1.22797695e-14	-18.420683	6.490606e-13	-1.9833639	20.853031	694.18695	14668.047529697418
22	2.5075202	2.6532311	12.650138	-0.5315631	1.4454682	4.8996143	16.155321	-9.22517	14.711538	61.21096	440.0	0.0	4.9	14.122322	68.0	0.0	1000.0	1000.0	1.3076923	1.2	30307.0	0.026353913043478262	1100004.0	-1.2097532	0.47016874	0.93559706	-7.861717	-1.2097532	0.470181	1.5455883	-8.076231	1.8771685	1.9360873	49.70922	-24.04877	1.3042511	3.7120848	119.32728	1e-08	1.9939481	4.5840707	88.127815	-12.355397	1.543646	0.0009272278	0.00092429883	0.05902805	0.2089934	2.3041479e-05	-6.2980814	0.0018936667	1.2969729e-14	-18.420683	6.1654745e-13	-1.993948	20.889723	694.0925	15362.110172748566
23	2.1257048	2.9337783	14.548697	-2.459588	1.7090671	2.1372416	6.257422	-1.2158659	35.5625	75.41273	448.0	0.0	2.5	7.648529	33.0	0.0	1000.0	1000.0	1.2083334	1.025	32014.0	0.02667833333333333	1150004.0	-1.1975944	0.4651361	0.5036598	-12.030385	-1.197589	0.46514976	0.6647703	-11.978598	1.8842906	1.8553802	53.36416	-13.238024	1.2825134	3.683427	90.94946	1e-08	1.9850951	4.57018	70.92538	-12.557565	1.5500175	0.0009049263	0.0009018968	0.05786204	0.20394215	3.0089444e-05	-6.381296	0.0017378845	1.0419303e-14	-18.420683	5.8902747e-13	-1.9850953	21.117073	699.56555	16061.634521484375
24	2.8198636	2.8765368	10.772858	-1.2401708	2.7600946	3.412267	13.572798	-0.40852723	22.51923	53.654697	365.0	0.0	71.525	161.07172	683.0	0.0	1000.0	1000.0	1.5576923	1.35	33185.0	0.026548	1200004.0	-1.1505567	0.42342353	0.5866805	-11.350256	-1.1505522	0.42342907	0.5194157	-11.242578	1.8967956	1.8442547	47.41833	-13.384721	1.25715	3.6622002	103.339905	1e-08	1.9642841	4.5477824	89.71732	-11.817102	1.5919814	0.00080712716	0.0008081773	0.056111567	0.19752295	5.705894e-05	-6.5795426	0.0014384823	7.9859715e-15	-18.420683	5.6647097e-13	-1.9642841	20.72594	694.4093	16756.10495185852
25	3.6984093	3.7836726	12.287129	-1.5312444	2.2559488	2.9812179	10.369658	-1.2869419	28.5625	63.15454	327.0	0.0	28.825	56.40474	198.0	0.0	1000.0	1000.0	1.8958334	1.3	34627.0	0.026636153846153848	1250004.0	-1.1414329	0.413127	0.6185886	-8.0277195	-1.1414263	0.41312104	0.3753336	-7.7436147	1.8780046	1.9505278	43.50713	-16.501299	1.3111128	3.7681444	98.00283	1e-08	2.0074227	4.690897	82.00945	-12.038652	1.7020696	0.0009322604	0.00093771296	0.06274962	0.21169655	-6.183381e-06	-6.4247494	0.0016725138	6.89499e-15	-18.420683	5.5194e-13	-2.007423	19.204458	695.79565	17451.745383262634
26	2.3289187	3.633146	13.617866	-1.5795041	1.2156014	2.5507803	9.579872	-1.733093	33.423077	69.92698	361.0	0.0	36.325	102.444954	392.0	0.0	1000.0	1000.0	1.2884616	0.825	36294.0	0.026884444444444443	1300004.0	-1.2012402	0.43381876	0.35890156	-7.6473002	-1.2012366	0.4337958	0.39593375	-7.305287	1.8849128	1.9551511	42.725857	-17.614563	1.2633693	3.8276854	113.73795	1e-08	1.9371028	4.7290926	105.80724	-11.832571	1.7280617	0.0009937808	0.0010049241	0.064273424	0.21556555	0.00010627158	-6.4080462	0.0017120178	7.2295905e-15	-18.420683	5.361178e-13	-1.9371026	21.066463	699.4625	18151.229758501053
27	2.3457527	2.756035	12.453884	-1.1222285	2.170655	2.3007512	8.853568	-0.6443457	43.166668	79.64984	349.0	0.0	31.9	93.45743	478.0	0.0	1000.0	1000.0	1.3125	1.05	38366.0	0.027404285714285714	1350004.0	-1.1992409	0.42855823	0.37001306	-7.3259764	-1.1992418	0.42855406	0.3200913	-7.281209	1.8889186	1.9762732	51.257236	-21.896175	1.24803	3.9383786	113.363304	1e-08	2.008554	4.6815147	103.22533	-13.56522	1.7428609	0.0009578581	0.0009616288	0.066575564	0.22164461	-4.0278364e-06	-6.49154	0.0015656011	6.8292243e-15	-18.420683	5.2194935e-13	-2.0085542	21.483173	693.1858	18844.58482503891
28	3.7120023	3.2501187	11.53258	-0.8999046	3.2834525	4.042732	14.100031	-0.58881515	37.307693	79.80229	334.0	0.0	34.85	90.015144	474.0	0.0	1000.0	1000.0	2.0769231	1.65	40306.0	0.027797241379310344	1400004.0	-1.2012635	0.4278051	0.34775043	-6.2008433	-1.2012659	0.4278033	0.2584046	-6.2382183	1.8733519	2.026882	46.43723	-23.43354	1.3152568	4.3664594	135.17787	1e-08	1.983581	4.476039	77.295494	-11.739025	1.7585169	0.0009597637	0.0009628641	0.06984757	0.22592331	2.9732533e-05	-6.3931575	0.0017161188	7.522964e-15	-18.420683	5.0639533e-13	-1.983581	21.271986	699.59265	19544.135982513428
29	2.4195025	2.7367356	9.02704	-1.2677047	1.848057	2.760016	9.36203	-1.1895089	17.416666	40.37988	191.0	0.0	25.975	96.068855	576.0	0.0	1000.0	1000.0	1.3125	1.025	41161.0	0.027440666666666665	1450004.0	-1.191714	0.4306636	0.5083296	-5.802134	-1.1917129	0.430648	1.5116038	-5.8832946	1.8468884	2.1253738	47.432995	-27.673958	1.4199494	4.7272887	144.68001	1e-08	1.9984387	4.570482	85.57819	-11.593079	1.88253	0.000992352	0.0010005126	0.075445905	0.23604569	9.531418e-06	-6.4170327	0.0016866629	6.1188436e-15	-18.420683	4.9288926e-13	-1.9984387	21.029373	693.7456	20237.95792412758
30	3.6656728	3.7354238	13.604515	-0.74350476	3.2351723	3.95404	16.741217	-1.5943832	11.596154	36.600365	248.0	0.0	58.025	156.27211	745.0	0.0	1000.0	1000.0	2.0192308	1.85	41745.0	0.02693225806451613	1500004.0	-1.1828882	0.43778232	0.247818	-6.91102	-1.1828847	0.43777153	0.33810866	-6.928255	1.8313489	2.104325	49.606598	-32.193268	1.4828553	4.9581714	161.71892	1e-08	1.9745816	4.542404	86.147766	-12.672591	1.8443025	0.0010531667	0.0010618086	0.07521327	0.23385707	5.0091858e-05	-6.3282604	0.0018374298	5.7770133e-15	-18.420683	4.8043676e-13	-1.9745817	20.88066	693.1079	20931.72503876686
