Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQC1Vals	StdQC1Vals	MaxQC1Vals	MinQC1Vals	AverageQC2Vals	StdQC2Vals	MaxQC2Vals	MinQC2Vals	AverageQC1Var	StdQC1Var	MaxQC1Var	MinQC1Var	AverageQC2Var	StdQC2Var	MaxQC2Var	MinQC2Var	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC1	LossQC2	LossQC1Var	LossQC2Var	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	10.100259	6.619359	24.886127	-0.4721009	15.424662	7.9183793	26.421022	0.24480334	42.458332	88.43758	554.0	0.0	44.55	116.04588	735.0	0.0	1000.0	1000.0	4.875	7.7	37526.0	0.03411454545454545	1050004.0	-0.96050704	0.47335598	1.3841603	-10.094561	-0.9605065	0.47338003	1.4703089	-9.528305	1.945511	1.6931313	52.561787	-7.3768263	1.9455227	1.6934497	62.347317	-7.450234	1.0124395	2.597627	87.78814	1e-08	1.0102017	2.5753462	86.42916	1e-08	1.9911982	3.8703687	69.497795	-10.87328	1.2651631	0.0013606618	0.0013465435	0.03809944	0.03770851	0.13001241	0.13067588	1.3804607e-05	-6.6069274	0.0013664578	1.0745014e-14	-18.420683	7.695583e-13	-1.9911982	14.782879	420.00726	8874.01087641716
22	9.41268	7.244925	24.56745	-1.2964005	8.087635	7.689289	25.521894	-0.21346147	27.923077	43.72855	244.0	0.0	66.3	158.66872	647.0	0.0	1000.0	1000.0	4.7115383	4.0	38977.0	0.033893043478260866	1100004.0	-0.967555	0.48274234	0.6908217	-7.6494856	-0.9675569	0.48275664	0.6352381	-7.714692	1.9446224	1.6916004	50.913082	-12.983047	1.9446281	1.6919283	49.757072	-11.48692	1.0280545	2.742528	120.19968	1e-08	1.0243239	2.699085	110.36436	1e-08	1.9976566	3.9796174	64.99106	-13.127285	1.32777	0.0013458981	0.0013365102	0.03783794	0.037719406	0.12994751	0.13066334	4.8735596e-06	-6.5330143	0.0014627592	8.940369e-15	-18.420683	7.3998154e-13	-1.9976566	15.016851	420.6093	9294.494420289993
23	8.031681	7.491515	24.792587	-0.5678043	10.678996	7.5872974	26.097092	-0.49737662	22.479166	36.841434	173.0	0.0	13.325	18.806099	67.0	0.0	1000.0	1000.0	3.9583333	5.425	40073.0	0.03339416666666667	1150004.0	-0.925235	0.4778989	1.5556519	-6.9102488	-0.9252342	0.47789663	1.6758912	-7.1590652	1.9552174	1.6676799	50.105877	-10.861352	1.9552163	1.6676769	48.837948	-9.44034	1.0062832	2.8258324	148.53825	1e-08	1.0033247	2.7606905	135.34615	1e-08	2.0013258	3.9501317	72.653366	-16.195408	1.3623583	0.0012929912	0.0012942285	0.03633355	0.036216512	0.12688164	0.12706736	-9.836019e-07	-6.701515	0.0012435792	5.6206743e-15	-18.420683	7.2009754e-13	-2.0013258	14.965848	420.51578	9714.946184873581
24	9.170786	7.0050497	25.045132	-0.5701677	8.838613	7.8746014	25.36445	-0.59237474	33.134617	74.24985	499.0	0.0	19.875	27.641624	131.0	0.0	1000.0	1000.0	4.6538463	4.325	41779.0	0.0334232	1200004.0	-0.8600382	0.4619888	2.2940183	-6.591176	-0.8600385	0.46199724	2.2854836	-6.540784	1.967865	1.6168958	45.754498	-8.3852005	1.9678314	1.6168728	47.48572	-8.628988	0.98356	2.8864405	145.01804	1e-08	0.98040897	2.8205988	146.18376	1e-08	1.9884714	4.002485	78.90203	-11.251766	1.3742541	0.0012191058	0.0012153239	0.035438016	0.035864122	0.124239355	0.12434379	1.7343305e-05	-6.7067056	0.0012392007	2.4594404e-15	-18.420683	7.06758e-13	-1.9884715	15.463575	426.34003	10141.455149888992
25	8.968742	6.8766394	25.194563	-0.527676	6.915699	6.8601804	25.100595	-0.33000955	43.9375	104.52818	539.0	0.0	6.35	13.95448	60.0	0.0	1000.0	1000.0	4.5	3.55	43922.0	0.03378615384615385	1250004.0	-0.8144667	0.46715045	3.0642467	-5.9516096	-0.814472	0.46718574	3.4160132	-5.825373	1.9751606	1.5938064	38.20482	-8.780431	1.9751501	1.5936134	41.990273	-9.021018	0.9448008	3.0105298	159.17662	1e-08	0.9416223	2.9467824	163.34583	1e-08	1.9997997	3.9243383	81.81833	-12.698494	1.3057331	0.001247538	0.0012285182	0.036305156	0.036656294	0.12511036	0.12498286	1.4818305e-06	-6.7128406	0.0012280898	2.317151e-15	-18.420683	7.018079e-13	-1.9997995	14.752676	422.97217	10564.374079227448
26	9.281494	7.522277	25.266953	-0.6472628	9.636946	8.67205	25.233294	-0.44200608	31.826923	46.34475	221.0	0.0	25.425	45.92542	232.0	0.0	1000.0	1000.0	4.7115383	4.775	45543.0	0.03373555555555555	1300004.0	-0.80145633	0.4904509	3.8664632	-7.95338	-0.80146545	0.49049357	3.8306139	-8.064355	1.9889941	1.576704	40.53677	-6.1326866	1.9890019	1.5766782	40.269997	-6.064441	0.9167302	3.0198922	145.09348	1e-08	0.91820216	2.9894047	145.93124	1e-08	1.9932206	3.9602685	65.47862	-11.255454	1.3020405	0.0014077799	0.0013848516	0.036663786	0.0365117	0.12506872	0.124848634	1.0806196e-05	-6.7137976	0.0012269389	2.3615609e-15	-18.420683	6.9587836e-13	-1.9932209	15.21617	422.20068	10986.719455718994
27	11.183193	8.059691	24.641842	-0.6937775	9.829898	7.778322	25.867085	-0.08521252	30.25	56.170315	248.0	0.0	33.2	99.37887	639.0	0.0	1000.0	1000.0	5.6666665	4.775	47386.0	0.03384714285714286	1350004.0	-0.8547506	0.52657056	3.826683	-8.434008	-0.8547518	0.5266068	3.7032135	-8.567314	2.004514	1.5649654	37.280422	-7.0441484	2.0044823	1.5647736	37.191658	-6.834204	0.8632943	2.8187594	129.27908	1e-08	0.864501	2.7877667	124.94319	1e-08	1.9949517	3.9283988	74.27471	-14.170463	1.2620595	0.0016581216	0.0016425566	0.036425155	0.0363546	0.12501256	0.124300525	8.352401e-06	-6.6302567	0.0013310803	4.5960245e-15	-18.420683	6.8562853e-13	-1.9949518	15.162871	425.66147	11412.172805786133
28	9.874122	7.463791	23.84555	-0.96353686	9.44541	8.961946	26.865576	-0.570174	29.942308	99.431725	700.0	0.0	29.525	79.27578	417.0	0.0	1000.0	1000.0	5.019231	4.7	48552.0	0.03348413793103448	1400004.0	-0.9140789	0.5397737	2.2371583	-10.386938	-0.9140811	0.5397963	2.4182312	-10.68646	2.0138388	1.5463119	33.5137	-7.0922446	2.0138152	1.5460426	34.369057	-7.276126	0.84888875	2.7624874	154.77885	1e-08	0.8482067	2.7399163	151.04546	1e-08	1.9981705	3.8521245	73.922325	-12.948862	1.424264	0.0017491456	0.0017417927	0.036309857	0.036601886	0.12469555	0.12480139	4.4801423e-06	-6.711335	0.0012280938	1.346985e-15	-18.420683	6.767931e-13	-1.9981703	15.027987	426.89288	11839.206178426743
29	8.901009	7.726198	24.311895	-1.2743409	8.340852	7.7966857	25.44951	-1.6830204	28.5625	71.78466	426.0	0.0	20.125	32.13891	172.0	0.0	1000.0	1000.0	4.6458335	4.175	49965.0	0.03331	1450004.0	-0.9639814	0.56211174	2.245784	-11.015054	-0.96398884	0.5621331	2.1079834	-10.921814	2.016295	1.546963	35.598343	-6.889716	2.0162768	1.5466461	36.431602	-6.5005946	0.82559085	2.5966704	149.80397	1e-08	0.82495874	2.5971656	147.80319	1e-08	1.9990464	3.8132882	72.429474	-15.06527	1.421537	0.0019102044	0.0018976454	0.036762472	0.037012357	0.12644029	0.1266296	3.0258823e-06	-6.625295	0.0013421816	2.674786e-15	-18.420683	6.713514e-13	-1.9990466	15.309983	433.82315	12273.030008077621
30	12.404203	7.5925913	25.862577	-0.77261484	8.347832	6.9145627	26.423424	-0.62348825	16.98077	25.311514	134.0	0.0	20.5	43.231354	260.0	0.0	1000.0	1000.0	6.269231	4.15	50806.0	0.03277806451612903	1500004.0	-0.9932448	0.58269286	3.454764	-11.523689	-0.99324375	0.58273107	3.34198	-11.45585	2.0204597	1.572663	39.222477	-6.676976	2.0204458	1.5728308	37.119045	-6.2803926	0.82570237	2.6063843	126.952965	1e-08	0.8276949	2.6533115	118.17215	1e-08	1.9902918	3.8008993	101.878876	-14.270983	1.4717355	0.0020288303	0.0020192524	0.036819845	0.036732543	0.1259651	0.12565446	1.5203016e-05	-6.6167545	0.0013512779	2.5541042e-15	-18.420683	6.6520265e-13	-1.9902917	15.16778	434.97702	12708.79690694809
31	10.528705	7.713981	25.240772	-0.91978437	9.091161	7.662542	28.33021	-0.49079564	17.354166	29.80806	171.0	0.0	30.9	91.12047	581.0	0.0	1000.0	1000.0	5.2083335	4.425	51673.0	0.032295625	1550004.0	-1.0163541	0.59282845	2.6998382	-11.921625	-1.0163562	0.59286046	2.699983	-11.754766	2.016688	1.590994	36.987938	-10.342525	2.0166647	1.5910498	38.148697	-10.336254	0.8419334	2.7090342	101.69859	1e-08	0.8429811	2.7331054	112.74925	1e-08	1.9999235	3.800466	94.704414	-12.704832	1.4507767	0.0021522697	0.0021484154	0.03643385	0.03642913	0.12576082	0.12528704	2.2300876e-06	-6.6070557	0.0013647133	3.8875344e-15	-18.420683	6.5652323e-13	-1.9999231	14.792872	426.82867	13134.975324630737
