Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQC1Vals	StdQC1Vals	MaxQC1Vals	MinQC1Vals	AverageQC2Vals	StdQC2Vals	MaxQC2Vals	MinQC2Vals	AverageQC1Var	StdQC1Var	MaxQC1Var	MinQC1Var	AverageQC2Var	StdQC2Var	MaxQC2Var	MinQC2Var	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC1	LossQC2	LossQC1Var	LossQC2Var	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	1.9699465	1.9756105	6.489108	-0.35292894	2.5411115	2.9674017	11.361187	-1.0982898	51.979168	126.64904	608.0	0.0	56.6	148.60011	800.0	0.0	1000.0	1000.0	0.9375	1.325	36226.0	0.03293272727272727	1050004.0	-1.1386966	0.45695713	0.7836613	-21.254694	-1.1386963	0.45690668	0.7032226	-20.160734	1.657297	1.8472883	35.946198	-23.949968	1.6573285	1.8471678	34.76768	-23.192213	1.8007084	3.021386	80.3444	1e-08	1.8002752	3.0087755	117.68754	4.5065978e-08	1.9946657	4.0125136	68.032104	-11.415582	1.072447	0.0007844374	0.0007957406	0.04225762	0.042068765	0.13350964	0.13341877	1.1401298e-05	-6.41595	0.0016543614	1.4785162e-14	-18.420683	4.3973598e-13	-1.994666	20.80761	882.5345	16946.277351617813
22	1.6922219	2.9719994	18.457258	-0.9818665	1.225394	2.2540421	8.010056	-1.7312081	29.865385	119.606735	845.0	0.0	44.4	154.7958	792.0	0.0	1000.0	1000.0	0.86538464	0.6	37779.0	0.032851304347826085	1100004.0	-1.1402802	0.4655738	0.94544053	-18.619114	-1.1402835	0.4655728	1.0453565	-17.382881	1.6172736	1.8780642	37.297447	-22.14952	1.6172835	1.8779548	39.446804	-24.107008	1.923562	3.1482153	76.87103	1e-08	1.9241174	3.1498191	99.92343	1.5859669e-07	2.003745	3.8290343	90.1502	-11.536376	1.1029848	0.0009532228	0.0009714059	0.0421388	0.0427504	0.1318801	0.13171573	-2.2092056e-06	-6.3895288	0.0016960925	1.3799708e-14	-18.420683	4.1631097e-13	-2.0037453	20.880371	884.2883	17830.41444683075
23	1.9058372	2.4524505	7.648076	-1.2400954	1.2245466	2.1821907	7.2611556	-1.1297765	40.604168	143.65216	935.0	0.0	65.575	213.1918	884.0	0.0	1000.0	1000.0	1.0	0.65	39740.0	0.03311666666666667	1150004.0	-1.2170908	0.47204146	1.016438	-17.643087	-1.2170914	0.47203884	1.0201262	-16.010845	1.6014012	1.7876451	44.398857	-7.3732634	1.601415	1.7873473	37.851753	-7.401426	1.93797	3.0623171	91.80853	1e-08	1.938184	3.06444	140.73766	4.662103e-08	1.9940566	3.9810166	81.61281	-13.021823	1.1227481	0.0010348798	0.0010473178	0.04231547	0.04243741	0.12858681	0.12768021	1.2023313e-05	-6.4552417	0.0015959976	1.3031529e-14	-18.420683	3.9398365e-13	-1.9940566	20.865715	878.9188	18709.496247529984
24	1.9725486	2.5735128	11.011815	-1.2589206	1.0028168	1.9969214	10.836043	-0.7189176	34.692307	88.53042	460.0	0.0	25.375	140.69304	900.0	0.0	1000.0	1000.0	1.0384616	0.525	41532.0	0.0332256	1200004.0	-1.2740772	0.46879083	0.9287225	-17.6312	-1.2740831	0.46881557	0.9796142	-16.925241	1.6218672	1.753027	42.0844	-8.107884	1.6218494	1.7530714	39.91062	-8.645058	1.8354996	2.889751	87.74501	1.3559912e-08	1.8376768	2.916635	159.65636	1e-08	1.9962003	3.9787412	78.947426	-14.1735	1.0970436	0.0011062056	0.0010967058	0.04075541	0.041081406	0.12596884	0.1256705	7.986487e-06	-6.466055	0.0015731123	1.3031202e-14	-18.420683	3.74054e-13	-1.9962002	20.905193	887.5432	19596.8404378891
25	1.6784402	2.4309964	12.738638	-1.6674736	1.3705293	2.1580353	9.977139	-0.26197028	13.75	41.141777	258.0	0.0	43.5	159.58743	903.0	0.0	1000.0	1000.0	0.875	0.625	42202.0	0.03246307692307692	1250004.0	-1.3099219	0.47003087	1.0901934	-15.359371	-1.3099159	0.47005662	1.1978278	-14.54149	1.6388407	1.7474053	38.3905	-8.1427965	1.6388415	1.7471751	41.304005	-7.727044	1.7937179	2.8371785	88.57976	1e-08	1.7948546	2.8616195	125.48727	1e-08	1.9965105	4.019064	95.97537	-13.630199	1.1905805	0.0011195737	0.0011061388	0.040250186	0.040473774	0.12505008	0.12497034	6.973481e-06	-6.5355854	0.0014670114	1.1661392e-14	-18.420683	3.560229e-13	-1.9965106	20.99078	879.008	20475.86251759529
26	2.2178767	2.7334368	10.776255	-0.80922985	2.1475663	2.8228874	9.739329	-1.1917596	29.057692	82.764595	467.0	0.0	36.675	109.47064	467.0	0.0	1000.0	1000.0	1.0576923	1.025	43703.0	0.03237259259259259	1300004.0	-1.3234218	0.47715667	1.051857	-16.325733	-1.323416	0.47717986	1.2822033	-15.491856	1.621388	1.756364	39.62619	-17.8734	1.6213803	1.7562639	41.672188	-17.593325	1.8711562	2.9700496	99.59085	1e-08	1.8721969	2.9959652	137.63698	1e-08	1.9857156	3.905523	90.03141	-12.258785	1.2304661	0.0012204382	0.0012186151	0.040584557	0.041075382	0.12557454	0.1255911	2.3426419e-05	-6.5336742	0.0014753531	1.0906098e-14	-18.420683	3.40516e-13	-1.9857156	20.845335	886.4572	21362.523410081863
27	1.9916176	2.7863052	14.9558935	-0.59610784	2.289509	2.1858983	6.8139057	-0.18644802	18.375	60.032845	310.0	0.0	48.325	123.81809	598.0	0.0	1000.0	1000.0	0.9583333	1.0	44633.0	0.03188071428571428	1350004.0	-1.3462939	0.49471024	1.1395111	-17.490257	-1.3462825	0.49476898	1.0762353	-17.507687	1.6146344	1.6976275	45.263027	-21.834656	1.6146256	1.6977375	40.33963	-22.157864	1.8862531	2.9772058	94.138336	1e-08	1.889515	3.0097244	107.40392	1e-08	2.0033152	3.952388	79.58969	-11.731195	1.2701678	0.0013659528	0.0013365701	0.03903936	0.03936262	0.11902291	0.11880889	-2.946831e-06	-6.583149	0.0013945699	9.654864e-15	-18.420683	3.2685283e-13	-2.0033154	20.842016	881.6831	22244.105058670044
28	2.128856	2.5976107	11.257944	-0.9827631	1.4193935	1.6937119	6.668207	-0.78006667	29.634615	60.66238	241.0	0.0	38.4	147.49149	902.0	0.0	1000.0	1000.0	1.0576923	0.7	46126.0	0.03181103448275862	1400004.0	-1.369661	0.5073906	1.4240265	-25.933466	-1.3696685	0.50734794	1.2949677	-26.759983	1.6021162	1.7153554	40.765484	-15.41466	1.6020731	1.715394	40.83106	-16.527662	1.9111706	3.0595849	80.20809	1e-08	1.9126039	3.0849915	88.44764	1e-08	1.9830282	3.9527962	78.23969	-11.710981	1.216148	0.0015692608	0.0015820815	0.040781356	0.04070193	0.121307306	0.1218767	2.5229538e-05	-6.48485	0.001543244	1.0593999e-14	-18.420683	3.1396703e-13	-1.9830279	20.91277	886.698	23130.760911226273
29	1.6469159	2.363571	8.505379	-0.9747664	1.0334368	1.5973718	5.932591	-0.6317121	44.791668	124.04282	681.0	0.0	50.25	172.14262	880.0	0.0	1000.0	1000.0	0.8958333	0.575	48276.0	0.032184	1450004.0	-1.4385428	0.56638056	0.27533293	-35.928005	-1.4385529	0.5661907	0.3958689	-34.294724	1.6046047	1.69649	39.421345	-21.71437	1.6046494	1.6966494	38.869617	-22.721977	1.8975116	3.072598	93.5757	1e-08	1.8985314	3.0974696	98.4526	1e-08	2.0111434	3.8818223	89.32387	-13.182977	1.3042947	0.0021099856	0.002118437	0.04196948	0.041866492	0.1220176	0.12258559	-1.2610818e-05	-6.5178742	0.0014907187	9.637227e-15	-18.420683	3.012277e-13	-2.0111437	21.195976	880.08484	24010.739181518555
30	1.7928497	2.3124208	11.079453	-0.6904766	1.8520167	2.4004526	9.714211	-0.8685432	37.826923	103.03766	537.0	0.0	30.525	142.99353	911.0	0.0	1000.0	1000.0	0.9230769	1.0	50243.0	0.03241483870967742	1500004.0	-1.4935206	0.6106691	0.24497294	-53.60816	-1.4935205	0.6114498	0.29337204	-56.990013	1.6334997	1.7034224	45.878708	-7.5320206	1.6335089	1.7035272	45.244698	-8.191336	1.8420151	3.4240184	109.910225	1e-08	1.8431945	3.466272	119.15633	1e-08	1.9911616	3.9299023	71.29671	-11.957451	1.4383228	0.0026580903	0.0024955387	0.042405836	0.04234242	0.12457994	0.12493644	1.5200523e-05	-6.50528	0.001506882	8.489021e-15	-18.420683	2.9058483e-13	-1.9911615	20.522402	890.6662	24902.89442896843
