Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	11.620087	6.5592012	25.423311	-0.34077322	12.57105	7.3192806	26.234715	-1.7403841	28.4375	58.777084	349.0	0.0	15.925	18.988665	77.0	0.0	1000.0	1000.0	5.6041665	6.15	39086.0	0.03553272727272727	1050004.0	-0.68044865	0.48137423	3.3429456	-12.120037	-0.6804541	0.4813386	3.1706355	-12.527192	2.4939523	2.5332408	59.935642	-19.43883	2.0020435	4.1291137	101.073204	-12.021211	1.5374944	0.001237726	0.0012547488	0.08150185	2.0142174e-06	-6.621234	0.0013604135	5.543819e-15	-27.700653	9.327701e-13	-2.0020435	22.18379	795.76276	14830.189816951752
22	11.575515	6.1502733	24.00249	-1.7088249	7.4094605	6.8475747	20.549162	-1.4099772	23.538462	36.411358	201.0	0.0	25.375	53.092697	304.0	0.0	1000.0	1000.0	5.6538463	3.75	40209.0	0.034964347826086956	1100004.0	-0.62431145	0.48056164	6.926716	-4.776084	-0.62430334	0.48053494	6.9387445	-5.0258756	2.4993157	2.4268105	58.187775	-20.779291	1.9966855	3.9230077	97.03166	-13.451625	1.5440655	0.0012561713	0.001269711	0.081759766	1.0744581e-05	-6.438279	0.0016370262	5.342693e-16	-27.718115	9.165929e-13	-1.9966856	22.355404	791.67224	15621.698460102081
23	10.76545	6.8313255	23.356327	-0.9530017	9.879311	6.646107	23.456673	-0.3514993	34.604168	40.33027	219.0	0.0	17.75	22.613878	84.0	0.0	1000.0	1000.0	5.2083335	4.925	41910.0	0.034925	1150004.0	-0.5851075	0.49260047	6.636103	-6.6006536	-0.58511037	0.49258032	6.496287	-6.325764	2.5028756	2.3448923	74.68906	-17.417107	1.9919716	3.918724	90.80474	-13.208891	1.5235473	0.0012825073	0.001292134	0.07615467	1.4897923e-05	-6.5458813	0.0014561982	-2.757554e-15	-27.709122	9.248734e-13	-1.9919716	22.540648	784.74524	16406.491944789886
24	12.131321	6.0074954	25.351799	-0.44656387	15.028798	6.333944	24.620647	-0.021201495	25.884615	30.656065	124.0	0.0	32.8	30.53457	126.0	0.0	1000.0	1000.0	5.980769	7.2	43216.0	0.0345728	1200004.0	-0.5387211	0.53201616	1.8699577	-7.050303	-0.53872323	0.53196084	1.8058325	-6.724078	2.5018997	2.3032491	65.53036	-20.356579	1.988766	3.7923448	109.893936	-12.972216	1.422015	0.0014797741	0.0015061233	0.07576579	1.8390965e-05	-6.5786467	0.0014172503	-1.872147e-15	-27.700193	9.331688e-13	-1.9887658	22.025303	798.1334	17204.58955526352
25	12.872088	6.0462785	25.471724	1.7828473	16.23771	7.855488	27.918541	1.0886762	33.666668	46.727192	231.0	0.0	17.7	18.617466	65.0	0.0	1000.0	1000.0	6.3333335	8.1	44852.0	0.03450153846153846	1250004.0	-0.5496719	0.5610384	1.4916004	-6.9172254	-0.5496662	0.56100285	1.4667988	-7.054725	2.5046082	2.2558608	43.285088	-23.361212	2.0054915	3.7841566	78.393715	-13.403288	1.4670492	0.0016726702	0.0016950953	0.07330328	-5.6915806e-06	-6.5972037	0.0013929297	-4.458186e-15	-27.685532	9.469544e-13	-2.0054915	22.03492	784.2048	17989.016016721725
26	13.747677	7.521027	28.066332	-0.6049679	9.993131	8.9057665	26.409483	-2.8683567	25.461538	27.172144	97.0	0.0	23.3	30.499344	133.0	0.0	1000.0	1000.0	6.923077	5.025	46156.0	0.03418962962962963	1300004.0	-0.55026734	0.5610029	1.523985	-8.614879	-0.5502705	0.5609795	1.3744712	-8.340472	2.507383	2.2371747	47.53123	-26.541807	1.9921622	3.6749938	70.18299	-11.341682	1.5180371	0.0017125055	0.0017221135	0.07134118	1.395432e-05	-6.5460644	0.0014597583	-7.250093e-15	-27.66522	9.66419e-13	-1.9921623	22.434793	785.3098	18774.124981164932
27	14.04472	6.7280483	25.54857	-0.031725675	13.839152	8.396964	27.809177	-0.50001425	22.25	24.05939	77.0	0.0	33.85	65.72349	420.0	0.0	1000.0	1000.0	6.8333335	6.95	47249.0	0.03374928571428571	1350004.0	-0.4806122	0.5612218	1.6930485	-7.4542437	-0.48062038	0.5612235	1.3193706	-7.34969	2.5087068	2.1851263	44.20543	-30.707792	1.9877999	3.5199602	83.09525	-12.785755	1.4602361	0.0016774845	0.0016784436	0.071890146	2.0021289e-05	-6.485298	0.0015433143	-8.810278e-15	-27.633295	9.977837e-13	-1.9877999	22.30491	795.9884	19570.03884410858
28	15.244129	6.6489305	26.096382	-0.67915064	16.066124	7.3894315	27.154339	0.2062228	27.807692	33.16337	143.0	0.0	27.8	31.22595	128.0	0.0	1000.0	1000.0	7.3653846	7.725	48670.0	0.03356551724137931	1400004.0	-0.37458688	0.56388026	2.0746906	-8.163264	-0.37458694	0.56390125	1.6698347	-8.084622	2.5082095	2.053553	49.636387	-11.393297	1.9963335	3.380191	64.13915	-12.8579235	1.246211	0.0016154441	0.0016030535	0.06755174	1.0566104e-05	-6.548	0.0014536987	-8.606966e-15	-27.59392	1.0378462e-12	-1.9963335	22.899807	794.2789	20364.3457198143
29	17.206642	5.4651837	25.66058	3.8175323	18.459747	6.8783684	27.89883	0.3455248	21.541666	20.455194	73.0	0.0	39.475	31.539648	157.0	0.0	1000.0	1000.0	8.166667	8.625	49758.0	0.033172	1450004.0	-0.29182836	0.5801643	1.3789514	-10.0001745	-0.29182863	0.58016163	2.0078251	-8.668927	2.5084782	2.0098224	37.294838	-21.752378	1.9964586	3.3368	55.973827	-12.339284	1.1440878	0.0016298705	0.0016323929	0.06312873	7.9434085e-06	-6.5160017	0.0014994657	-9.2084865e-15	-27.559435	1.0742657e-12	-1.9964584	22.566328	793.19934	21157.82282280922
30	18.457546	5.579375	26.599474	0.24926221	17.54321	7.935265	25.884787	-0.56633484	28.403847	31.133867	164.0	0.0	30.55	24.492805	88.0	0.0	1000.0	1000.0	9.057693	8.575	51181.0	0.03302	1500004.0	-0.21836394	0.5617073	2.3397112	-7.071618	-0.21836454	0.5617138	1.583574	-7.229879	2.5163383	1.9486787	39.866924	-17.42847	1.9974282	3.4820063	74.79008	-12.796861	1.2287499	0.0015378387	0.0015337827	0.05981756	5.8041833e-06	-6.5823736	0.0014117802	-1.8646636e-14	-27.50807	1.131131e-12	-1.9974283	20.588226	789.11743	21947.705293893814
