Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	0.6740475	1.3554938	3.9525938	-3.1100054	0.7306851	1.780016	6.885913	-2.0968745	12.729167	39.514626	189.0	0.0	9.25	32.820534	192.0	0.0	1000.0	1000.0	0.4375	0.5	28465.0	0.025877272727272728	1050004.0	-1.3242218	0.62422484	1.1747094	-25.074493	-1.3242214	0.624285	1.2572656	-25.308899	1.8391738	2.1151657	49.157772	-22.15222	1.4738572	3.9390287	100.9976	1e-08	2.0180662	4.4436255	101.616394	-11.685315	1.5257341	0.0016391234	0.0016544927	0.06209478	0.22285621	-2.9665496e-05	-6.261323	0.0019517518	1.6831808e-14	-18.420683	5.102318e-13	-2.0180662	20.965996	707.7793	14570.689925670624
22	0.66479534	1.1963563	3.894382	-1.3901376	0.7928864	1.3183987	4.700979	-1.0942247	9.288462	26.803656	134.0	0.0	21.35	66.10883	367.0	0.0	1000.0	1000.0	0.46153846	0.425	28948.0	0.025172173913043477	1100004.0	-1.2934333	0.5934068	1.7461796	-8.873106	-1.2934319	0.593375	1.699641	-8.419154	1.8349887	2.10515	56.846016	-22.0583	1.506595	4.238965	149.16377	1e-08	1.9545265	4.4679675	93.84532	-13.106989	1.6408603	0.0010768394	0.0010927304	0.06283834	0.22195609	8.8483284e-05	-6.2914886	0.0019043054	1.256863e-14	-18.420683	4.8225784e-13	-1.9545265	20.872334	702.70966	15273.521433830261
23	0.43006268	1.4998573	5.8350263	-1.9407544	1.0979376	1.8666245	6.4900775	-2.2350252	25.520834	85.61687	394.0	0.0	29.575	119.07684	718.0	0.0	1000.0	1000.0	0.35416666	0.7	30242.0	0.025201666666666667	1150004.0	-1.249155	0.5733968	1.7227854	-10.098291	-1.2491546	0.5733314	1.6867777	-10.252626	1.8311644	2.1258314	50.30646	-22.02359	1.4529881	4.3398323	196.3415	1e-08	2.0281882	4.468739	91.80401	-13.908016	1.4627975	0.001172819	0.0012060842	0.061550673	0.22448762	-4.8772763e-05	-6.2546544	0.0019596978	1.4821794e-14	-18.420683	4.5671794e-13	-2.0281885	21.120485	707.4984	15981.180022239685
24	0.951356	1.7587574	7.293172	-0.994832	0.88564223	1.2834028	3.8118327	-1.0149362	15.0	55.721836	340.0	0.0	34.35	82.18198	365.0	0.0	1000.0	1000.0	0.59615386	0.5	30953.0	0.0247624	1200004.0	-1.3550181	0.6154323	0.3187669	-10.009746	-1.355018	0.615385	0.6555493	-10.073511	1.8364705	2.1257832	46.97217	-15.119872	1.39472	4.004789	222.03552	1e-08	1.9705865	4.2911386	86.056114	-13.15029	1.6450803	0.0013666099	0.0013944766	0.06316138	0.22760406	6.870035e-05	-6.282255	0.001905247	1.2668613e-14	-18.420683	4.3197065e-13	-1.9705865	21.149715	704.46423	16685.44925546646
25	0.829566	1.7028674	4.688269	-3.9995816	1.2574388	1.6495507	6.837471	-1.2139865	22.1875	73.77264	448.0	0.0	33.75	119.342316	725.0	0.0	1000.0	1000.0	0.5208333	0.625	32331.0	0.02487	1250004.0	-1.3572072	0.5928401	0.43388957	-9.37023	-1.3572057	0.5928339	0.5643384	-9.343469	1.863421	2.0467343	49.79905	-17.726171	1.3064828	3.8117957	215.5973	1e-08	1.9777527	4.294801	98.828995	-12.553935	1.6907927	0.0011655801	0.0011698933	0.059287257	0.21697946	3.771011e-05	-6.392842	0.0017249369	9.849107e-15	-18.420683	4.1375852e-13	-1.9777527	21.450466	703.5576	17389.067766189575
26	0.96028066	1.83821	6.359493	-2.2467995	0.6470393	1.2703854	4.338041	-0.7736974	25.692308	73.960106	376.0	0.0	67.2	187.56894	887.0	0.0	1000.0	1000.0	0.6730769	0.35	33354.0	0.024706666666666665	1300004.0	-1.2852367	0.53821623	0.49582273	-7.5928397	-1.2852341	0.5382113	0.53561324	-7.9288273	1.871386	1.994477	47.429604	-18.088017	1.2881495	4.120442	285.10992	1e-08	2.0087543	4.3908625	90.703285	-11.991798	1.6268208	0.0009243581	0.0009241092	0.057612784	0.21042666	-1.1922276e-05	-6.4518876	0.0016218643	8.80567e-15	-18.420683	3.9809508e-13	-2.0087543	21.255808	705.8137	18094.841767549515
27	0.6353366	1.575423	4.5851717	-1.4418694	0.5584341	2.097125	12.321681	-1.0060295	31.208334	95.33056	546.0	0.0	51.675	137.14726	601.0	0.0	1000.0	1000.0	0.5	0.425	34852.0	0.024894285714285716	1350004.0	-1.1961805	0.48519027	0.46346527	-5.7416553	-1.1961819	0.48516744	0.5391089	-5.731815	1.8453009	2.057686	50.071934	-15.402532	1.3517426	4.27771	204.88882	1e-08	1.9939681	4.248428	81.657166	-13.087093	1.3881689	0.0008101754	0.0008209358	0.061007228	0.21467619	1.5721564e-05	-6.3357177	0.0018119286	1.153232e-14	-18.420683	3.8220287e-13	-1.9939681	21.473026	703.6345	18798.595440149307
28	0.9161036	1.9465644	6.5256524	-1.4484562	1.0003616	1.4936891	6.2318497	-1.1066792	18.73077	56.891636	375.0	0.0	24.55	76.6619	394.0	0.0	1000.0	1000.0	0.61538464	0.475	35826.0	0.024707586206896552	1400004.0	-1.1691406	0.4784251	0.7683018	-6.733003	-1.1691396	0.47841412	0.6238885	-6.6371083	1.8353775	2.1133301	62.78793	-26.065395	1.4147409	4.330702	160.16449	1e-08	2.0034437	4.356261	81.30422	-10.811339	1.4605439	0.0008290016	0.0008367587	0.06482506	0.22434813	-1.4681692e-05	-6.312095	0.0018552574	1.05271355e-14	-18.420683	3.658763e-13	-2.0034437	19.86052	705.30115	19503.83634495735
29	0.9493299	1.7675261	7.704147	-1.5874768	0.68759954	1.6746451	7.196054	-2.2332916	50.4375	140.04834	882.0	0.0	56.5	181.73868	839.0	0.0	1000.0	1000.0	0.5208333	0.475	38247.0	0.025498	1450004.0	-1.1651874	0.4985177	0.7973617	-5.8398023	-1.1651886	0.49851948	0.7457273	-6.0576105	1.8268709	2.2177844	53.84375	-32.171352	1.5150256	4.60325	155.39105	1e-08	1.9699668	4.426888	104.70324	-12.255558	1.5577898	0.0008850404	0.0008833819	0.068879046	0.2353699	7.402664e-05	-6.2718015	0.0019720122	1.0237009e-14	-18.420683	3.509205e-13	-1.9699668	20.85537	708.9394	20212.7930560112
30	0.79629797	1.638404	6.4402494	-1.5405121	0.53793633	1.1553761	3.515775	-0.8355303	11.019231	53.983078	361.0	0.0	38.075	153.85323	905.0	0.0	1000.0	1000.0	0.5576923	0.4	38820.0	0.025045161290322582	1500004.0	-1.232483	0.5395166	0.5319431	-7.7664585	-1.2324854	0.53952336	0.40959132	-7.4551535	1.8282707	2.240498	43.47013	-17.087914	1.5130072	4.7279863	220.75914	1e-08	1.9860469	4.4025173	98.3906	-14.035929	1.6548858	0.0011246884	0.0011183141	0.06652203	0.23072352	3.9958122e-05	-6.321654	0.0018556885	9.356283e-15	-18.420683	3.3730804e-13	-1.9860469	20.918816	703.18134	20916.75585246086
