Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	-0.6866178	1.6005791	2.3757992	-7.602038	0.12693533	1.0337464	2.7838335	-2.019318	15.083333	25.293142	104.0	0.0	71.1	181.45561	842.0	0.0	1000.0	1000.0	0.0625	0.125	42020.0	0.0382	1050004.0	-2.548606	1.7716792	0.3670212	-42.133587	-2.5485957	1.7717606	0.44470227	-43.03504	1.8864064	3.264528	72.12287	-33.61756	1.639659	4.949967	148.45941	1e-08	2.029312	5.035719	110.49097	-12.499813	3.888045	0.0033867168	0.003349432	0.10526619	0.39362034	-5.7032565e-05	-5.6865563	0.003508014	2.1202117e-14	-18.420683	5.075346e-13	-2.0293121	50.601547	984.5373	20632.68141078949
22	-0.22363599	1.3912435	4.2859826	-3.709345	-0.42271575	1.6468836	2.7994623	-9.133196	23.73077	54.699917	240.0	0.0	31.525	89.460045	442.0	0.0	1000.0	1000.0	0.15384616	0.1	43201.0	0.03756608695652174	1100004.0	-2.5297692	1.752186	-0.45882964	-38.96033	-2.5297616	1.7521898	-0.49278438	-39.123188	1.8822185	3.0816975	59.240383	-31.511915	1.6437509	4.8884077	122.34918	1e-08	2.0094154	5.3506837	102.05204	-11.358333	3.7926066	0.0035960702	0.0036040717	0.10259457	0.37264976	-3.1215935e-05	-5.7633443	0.0032122766	1.6537705e-14	-18.420683	4.692695e-13	-2.0094154	48.218292	977.167	21609.258044719696
23	-0.29746202	1.1264831	2.5593	-5.3487144	-0.8736305	2.4290688	2.9072344	-12.923457	13.0625	29.002447	146.0	0.0	10.675	37.98051	225.0	0.0	1000.0	1000.0	0.0625	0.05	43865.0	0.036554166666666665	1150004.0	-2.418662	1.7022002	-0.50792694	-38.44358	-2.4186354	1.7022597	-0.5081452	-38.80656	1.8868177	3.1343305	64.658905	-25.439299	1.6922683	5.0273013	139.14792	1e-08	1.9448644	5.0872307	83.823944	-14.118021	3.81574	0.00360698	0.003594214	0.10223901	0.37610093	0.00018818505	-5.907634	0.0028116293	1.3928962e-14	-18.420683	4.4566694e-13	-1.9448644	49.847603	970.12317	22579.54943203926
24	-1.5034784	3.623591	3.0265422	-15.219822	0.048003215	1.030551	3.3959923	-1.5485857	16.538462	41.656315	267.0	0.0	68.1	129.68265	514.0	0.0	1000.0	1000.0	0.15384616	0.15	44688.0	0.0357504	1200004.0	-2.3240979	1.7481664	-0.33782113	-83.63245	-2.3240733	1.748094	-0.51846087	-84.98084	1.9026338	3.08296	75.02674	-22.747236	1.6253616	5.014803	169.45763	1e-08	2.015266	4.9744706	87.301414	-11.06047	3.6807694	0.006028436	0.006079606	0.099219345	0.36835164	-1.2250681e-05	-5.8468714	0.0029695078	1.3332873e-14	-18.420683	4.2131606e-13	-2.0152662	50.19868	974.4035	23554.239386081696
25	-0.9584816	3.2566032	4.632417	-15.4832325	-0.105012715	0.5912108	1.1810421	-1.5093654	16.354166	37.913	175.0	0.0	50.8	165.78017	915.0	0.0	1000.0	1000.0	0.16666667	0.0	45473.0	0.03497923076923077	1250004.0	-2.3402925	1.762892	-0.25369883	-72.673	-2.3403196	1.7628497	-0.43456304	-73.10332	1.8829297	3.0208025	74.15082	-27.953144	1.6947854	5.185452	194.9709	1e-08	1.9816409	5.0075927	81.72553	-12.852373	3.6932528	0.006185201	0.006252304	0.1005207	0.36255297	5.7020854e-05	-5.921016	0.002815504	1.1412686e-14	-18.420683	4.009494e-13	-1.9816409	50.00045	975.75183	24529.752969026566
26	-0.8316059	1.7796812	2.6741142	-6.7551465	-1.1294563	3.5349865	0.4112409	-22.076008	51.634617	99.250656	368.0	0.0	10.775	40.541023	211.0	0.0	1000.0	1000.0	0.07692308	0.0	48158.0	0.035672592592592596	1300004.0	-2.3865345	1.9083536	-0.6521348	-112.81125	-2.3865523	1.9083974	-0.66067946	-111.79102	1.8632325	2.931234	57.533	-20.94658	1.7490276	5.3144584	184.88048	1e-08	1.9588525	5.139801	87.78422	-12.9647455	3.5924468	0.007367506	0.007328796	0.099948995	0.35369438	0.00014148501	-5.886669	0.0028666505	1.1372255e-14	-18.420683	3.8319754e-13	-1.9588525	48.60032	977.16614	25506.905462503433
27	-0.53438616	1.5667108	2.2381248	-7.311382	0.08566162	0.87806547	1.9256606	-2.2458625	13.791667	41.98113	211.0	0.0	31.2	111.25695	503.0	0.0	1000.0	1000.0	0.125	0.15	48820.0	0.034871428571428574	1350004.0	-2.4464	2.0141892	3.200348	-104.96156	-2.4464126	2.01442	3.3011262	-103.15741	1.8602014	2.9295595	75.281624	-30.625965	1.8057945	5.6446	220.2821	1e-08	2.0127819	4.8544765	98.497986	-13.303495	3.7754943	0.008669398	0.008502592	0.10046566	0.3507169	-2.9093095e-05	-5.8091965	0.0030582035	9.310571e-15	-18.420683	3.676213e-13	-2.0127819	46.63062	973.499	26480.872017621994
28	-0.43128347	1.4457935	2.8493068	-6.902298	-0.01876854	1.5190693	3.0133474	-6.7574944	24.807692	75.32878	480.0	0.0	46.1	117.38054	639.0	0.0	1000.0	1000.0	0.057692308	0.15	50110.0	0.03455862068965517	1400004.0	-2.4178581	1.8448929	0.95080256	-77.16896	-2.4178588	1.8448834	1.2565117	-76.1586	1.8516278	2.8994844	102.886345	-30.089287	1.8626741	6.200341	282.19458	1e-08	1.9158291	4.718053	99.25451	-13.697859	3.6090071	0.0051524597	0.0050288625	0.098539434	0.34112015	0.00023488385	-5.9113736	0.002797937	1.0038245e-14	-18.420683	3.5367876e-13	-1.9158291	49.65439	981.2599	27461.862313747406
29	-0.26281345	0.7967896	2.315971	-2.070354	-0.6707605	4.2414784	2.6042295	-26.264025	48.25	142.47815	745.0	0.0	0.375	2.3418744	15.0	0.0	1000.0	1000.0	0.0625	0.125	52426.0	0.034950666666666665	1450004.0	-2.2856274	1.5528371	0.7231182	-19.017685	-2.2856376	1.5528432	0.48178434	-19.599686	1.89338	2.8081532	71.2464	-44.31436	1.70027	5.931991	277.9685	1e-08	2.0235093	4.918034	84.91385	-11.030949	3.4680119	0.0028782464	0.0028679469	0.092037335	0.3241931	-3.4781504e-05	-6.0209837	0.0025293513	7.802745e-15	-18.420683	3.4113402e-13	-2.0235093	48.01729	1003.2034	28465.198997974396
30	-0.38408074	1.4096209	2.5820055	-6.4326305	-0.5437453	2.2990274	3.4917521	-12.20502	15.192307	39.612568	225.0	0.0	6.225	18.15143	88.0	0.0	1000.0	1000.0	0.13461539	0.15	53216.0	0.034332903225806455	1500004.0	-2.1270826	1.358473	-0.65301156	-14.997338	-2.1270995	1.3584691	-0.6777258	-15.100694	1.9034746	2.7140536	62.527596	-47.622307	1.6759019	5.712084	208.01408	1e-08	1.9765147	4.8628173	102.36875	-14.725147	3.2923002	0.002317469	0.0023260189	0.09148328	0.31726253	6.733662e-05	-6.1645813	0.0022166574	6.672638e-15	-18.420683	3.314966e-13	-1.9765146	50.78528	1101.1101	29566.2761220932
